MVINOMBRE,HORARIO,accidentes,muertes,heridos,muertes_vulnerables,heridos_vulnerables,vulnerables
AVENIDA SANTA BARBARA,Nocturno 2-5,5,0,1,0,1,1
AVENIDA SANTA BARBARA,Nocturno 22-2,12,0,2,0,2,1
AVENIDA SANTA BARBARA,NocturnoTarde 18-22,43,0,17,0,8,1
AVENIDA SANTA LUCIA,DiurnoMan 5-8,10,0,7,0,7,1
AVENIDA SANTA LUCIA,DiurnoMan 8-12,17,1,8,1,7,2
AVENIDA SANTA LUCIA,DiurnoTarde 12-18,36,1,27,1,19,2
AVENIDA SANTA LUCIA,Nocturno 2-5,3,0,1,0,1,1
AVENIDA SANTA LUCIA,Nocturno 22-2,3,0,2,0,2,1
AVENIDA SANTA LUCIA,NocturnoTarde 18-22,16,0,13,0,8,1
AVENIDA TINTAL,DiurnoMan 5-8,19,0,20,0,17,1
AVENIDA TINTAL,DiurnoMan 8-12,19,1,12,1,11,2
AVENIDA TINTAL,DiurnoTarde 12-18,39,1,42,1,32,2
AVENIDA TINTAL,Nocturno 2-5,4,0,3,0,3,1
AVENIDA TINTAL,Nocturno 22-2,20,1,15,1,11,2
AVENIDA TINTAL,NocturnoTarde 18-22,24,0,20,0,16,1
AVENIDA TRANSVERSAL DE SUBA,DiurnoMan 5-8,40,0,24,0,16,1
AVENIDA TRANSVERSAL DE SUBA,DiurnoMan 8-12,74,2,30,2,23,2
AVENIDA TRANSVERSAL DE SUBA,DiurnoTarde 12-18,144,1,78,1,38,2
AVENIDA TRANSVERSAL DE SUBA,Nocturno 2-5,11,0,15,0,3,1
AVENIDA TRANSVERSAL DE SUBA,Nocturno 22-2,47,1,34,1,23,2
AVENIDA TRANSVERSAL DE SUBA,NocturnoTarde 18-22,68,2,20,2,19,2
AVENIDA TUNJUELITO,DiurnoMan 5-8,16,1,15,1,12,2
AVENIDA TUNJUELITO,DiurnoMan 8-12,22,1,20,1,15,2
AVENIDA TUNJUELITO,DiurnoTarde 12-18,40,1,26,1,21,2
AVENIDA TUNJUELITO,Nocturno 2-5,3,0,4,0,0,0
AVENIDA TUNJUELITO,Nocturno 22-2,7,0,3,0,3,1
AVENIDA TUNJUELITO,NocturnoTarde 18-22,20,1,14,1,12,2
CAMINO DE PASQUILLA,DiurnoMan 5-8,10,0,12,0,10,1
CAMINO DE PASQUILLA,DiurnoMan 8-12,13,0,36,0,4,1
CAMINO DE PASQUILLA,DiurnoTarde 12-18,24,2,44,2,11,2
CAMINO DE PASQUILLA,Nocturno 2-5,1,0,0,0,0,0
CAMINO DE PASQUILLA,Nocturno 22-2,3,0,1,0,1,1
CAMINO DE PASQUILLA,NocturnoTarde 18-22,5,0,4,0,3,1
